YEAR,MO,DY,LAT,LON,T-IKO,TMIN-IKO,TMAX-IKO,RH2M-IKO
1983,7,6,6.62051,3.52061,23.87,21.83,26.57,87.69
1983,7,7,6.62051,3.52061,24.26,22.04,27.33,86.73
1983,7,8,6.62051,3.52061,23.84,22.21,26.32,88.49
1983,7,9,6.62051,3.52061,24.23,21.79,27.23,87.39
1983,7,10,6.62051,3.52061,24.42,22.09,27.7,88.08
1983,7,11,6.62051,3.52061,24.36,22.22,27.5,89.13
1983,7,12,6.62051,3.52061,24.55,22.87,27.53,89.03
1983,7,13,6.62051,3.52061,24.48,22.06,27.61,87.83
1983,7,14,6.62051,3.52061,24.01,22.44,26.8,89.72
1983,7,15,6.62051,3.52061,24.43,22.46,27.64,87.49
1983,7,16,6.62051,3.52061,24.12,22.1,26.63,88.22
1983,7,17,6.62051,3.52061,24.3,22.4,27.43,88.14
1983,7,18,6.62051,3.52061,24.71,22.41,27.96,86.67
1983,7,19,6.62051,3.52061,24.96,22.45,28.67,84.83
1983,7,20,6.62051,3.52061,24.35,22.52,27.47,86.27
1983,7,21,6.62051,3.52061,24.43,22.36,27.66,85.33
1983,7,22,6.62051,3.52061,24.34,21.99,27.63,85.48
1983,7,23,6.62051,3.52061,24.22,21.88,27.68,85.85
1983,7,24,6.62051,3.52061,23.93,21.98,26.68,86.43
1983,7,25,6.62051,3.52061,23.98,21.53,27.26,84.42
1983,7,26,6.62051,3.52061,23.69,21.86,26.74,85.31
1983,7,27,6.62051,3.52061,23.72,21.78,26.83,84.56
1983,7,28,6.62051,3.52061,24.2,21.27,27.86,82.5
1983,7,29,6.62051,3.52061,24.19,21.86,27.47,82.67
1983,7,30,6.62051,3.52061,23.2,22.34,24.66,88.33
1983,7,31,6.62051,3.52061,23.79,21.6,26.92,82.08
1983,8,1,6.62051,3.52061,24.03,20.63,27.96,82.74
1983,8,2,6.62051,3.52061,24.12,21.75,27.44,83.76
1983,8,3,6.62051,3.52061,24.05,22.25,26.75,84.8
1983,8,4,6.62051,3.52061,23.74,21.99,25.82,86.41
1983,8,5,6.62051,3.52061,24.01,22,27.19,85.11
1983,8,6,6.62051,3.52061,22.94,21.9,24.74,89.34
1983,8,7,6.62051,3.52061,22.69,21.43,24.48,90.34
1983,8,8,6.62051,3.52061,23.29,21.02,26.2,85.89
1983,8,9,6.62051,3.52061,22.89,21.16,24.86,88.24
1983,8,10,6.62051,3.52061,23.77,20.78,27.61,84.16
1983,8,11,6.62051,3.52061,23.66,21.76,26.6,84.92
1983,8,12,6.62051,3.52061,23.27,21.6,25.91,87.72
1983,8,13,6.62051,3.52061,23.87,21.1,27.79,83.63
1983,8,14,6.62051,3.52061,23.51,20.87,27.26,83.46
1983,8,15,6.62051,3.52061,23.7,21.06,27.46,81.92
1983,8,16,6.62051,3.52061,23.55,21.27,27.08,82.23
1983,8,17,6.62051,3.52061,23.28,21.02,26.73,83.58
1983,8,18,6.62051,3.52061,23.61,20.38,27.68,80.95
1983,8,19,6.62051,3.52061,23.52,20.5,27.26,81.57
1983,8,20,6.62051,3.52061,22.45,21.48,23.86,88.83
1983,8,21,6.62051,3.52061,23.36,21.28,26.58,82.7
1983,8,22,6.62051,3.52061,23.39,21.19,26.69,81.11
1983,8,23,6.62051,3.52061,23.4,20.53,27.13,82.65
1983,8,24,6.62051,3.52061,23.67,21.39,27.13,83.79
1983,8,25,6.62051,3.52061,23.83,21.28,27.15,84.67
1983,8,26,6.62051,3.52061,23.93,21.83,26.94,83.59
1983,8,27,6.62051,3.52061,24.17,21.5,27.96,81.84
1983,8,28,6.62051,3.52061,23.21,21.23,25.34,86.98
1983,8,29,6.62051,3.52061,23.83,21.6,27.05,84.69
1983,8,30,6.62051,3.52061,24.2,21.78,28.09,83.6
1983,8,31,6.62051,3.52061,24.5,21.75,27.89,83.32
1983,9,1,6.62051,3.52061,24.78,22.39,28.51,83.12
1983,9,2,6.62051,3.52061,24.79,22.24,28.05,83.46
1983,9,3,6.62051,3.52061,24.68,22.4,28.26,84.4
1983,9,4,6.62051,3.52061,24.3,21.65,27.84,87.36
1983,9,5,6.62051,3.52061,24.48,22.53,27.85,86.93
1983,9,6,6.62051,3.52061,23.8,22.25,26.11,90.03
1983,9,7,6.62051,3.52061,24.2,21.81,27.46,86.74
1983,9,8,6.62051,3.52061,24.03,22.39,26.44,91.29
1983,9,9,6.62051,3.52061,24.6,22.42,27.97,87.74
1983,9,10,6.62051,3.52061,24.28,22.47,27.42,88.64
1983,9,11,6.62051,3.52061,23.75,22.25,26.33,89.68
1983,9,12,6.62051,3.52061,23.99,22.18,27,89.11
1983,9,13,6.62051,3.52061,23.24,22.28,24.78,92.31
1983,9,14,6.62051,3.52061,23.83,21.98,26.74,89.05
1983,9,15,6.62051,3.52061,23.71,22.19,26.03,91.46
1983,9,16,6.62051,3.52061,23.41,22.37,25.27,92.89
1983,9,17,6.62051,3.52061,23.61,22.12,26.21,90.73
1983,9,18,6.62051,3.52061,24.01,21.57,27.67,87.71
1983,9,19,6.62051,3.52061,24.21,21.44,28.01,87.32
1983,9,20,6.62051,3.52061,24.73,21.94,28.47,86.72
1983,9,21,6.62051,3.52061,24.28,22.97,26.65,90.53
1983,9,22,6.62051,3.52061,24.78,22.53,28,87.72
1983,9,23,6.62051,3.52061,25,22.52,28.2,86.83
1983,9,24,6.62051,3.52061,25.23,22.79,28.36,86.59
1983,9,25,6.62051,3.52061,25.15,23.15,28.55,86.16
1983,9,26,6.62051,3.52061,24.42,22.82,26.83,89.56
1983,9,27,6.62051,3.52061,24.59,22.84,27.08,88.4
1983,9,28,6.62051,3.52061,25.24,22.7,28.84,86.39
1983,9,29,6.62051,3.52061,25.19,23.01,28.54,87.33
1983,9,30,6.62051,3.52061,24.92,22.94,28.04,88.03
1983,10,1,6.62051,3.52061,24.99,23.06,28.2,87.33
1983,10,2,6.62051,3.52061,24.99,22.83,28.1,85.4
1983,10,3,6.62051,3.52061,24.95,22.79,28.01,85.63
1983,10,4,6.62051,3.52061,25.14,22.7,28.58,86.52
1983,10,5,6.62051,3.52061,24.5,23.06,26.63,90.1
1983,10,6,6.62051,3.52061,25.15,22.48,28.73,86.22
1983,10,7,6.62051,3.52061,24.98,22.25,28.72,86.53
1983,10,8,6.62051,3.52061,24.74,22.49,27.98,85.99
1983,10,9,6.62051,3.52061,25.12,22.38,28.54,85.93
1983,10,10,6.62051,3.52061,25.64,22.89,29.35,84.88
1983,10,11,6.62051,3.52061,25.53,23.38,28.68,85.8
1983,10,12,6.62051,3.52061,24.97,22.69,28.04,86.43
1983,10,13,6.62051,3.52061,25.65,22.51,29.5,81.34
1983,10,14,6.62051,3.52061,25.58,22.45,29.32,83.21
1983,10,15,6.62051,3.52061,25.87,22.76,29.91,83.27
1983,10,16,6.62051,3.52061,25.95,22.85,29.85,84.35
1983,10,17,6.62051,3.52061,25.71,23.13,29.4,84.88
1983,10,18,6.62051,3.52061,25.72,23.05,29.37,83.88
1983,10,19,6.62051,3.52061,25.53,23.19,28.88,85.25
1983,10,20,6.62051,3.52061,25.53,23.42,29.1,82.19
1983,10,21,6.62051,3.52061,25.26,22.67,28.69,82.97
1983,10,22,6.62051,3.52061,25.55,23.12,28.99,82.35
1983,10,23,6.62051,3.52061,25.89,22.93,29.53,80.8
1983,10,24,6.62051,3.52061,26.09,22.74,30.03,80.07
1983,10,25,6.62051,3.52061,25.89,23.45,29.26,82.35
1983,10,26,6.62051,3.52061,26.34,23.32,30.17,79.75
1983,10,27,6.62051,3.52061,26.25,23.83,29.44,82.28
1983,10,28,6.62051,3.52061,26.25,23.52,29.66,82.78
1983,10,29,6.62051,3.52061,26.49,24.15,29.89,80.72
1983,10,30,6.62051,3.52061,26.62,24.06,30.54,80.45
1983,10,31,6.62051,3.52061,26.86,23.19,31.22,79.26
1983,11,1,6.62051,3.52061,26.7,23.58,30.62,81.14
1983,11,2,6.62051,3.52061,26.56,24.24,30.08,81.3
1983,11,3,6.62051,3.52061,26.36,23.62,30.17,80.82
1983,11,4,6.62051,3.52061,26.43,23.49,30.3,80.69
1983,11,5,6.62051,3.52061,26.31,23.88,29.54,82.02
1983,11,6,6.62051,3.52061,26.8,23.65,30.97,80.17
